τριάριοι,triarii:0.455074092414
δυσείμων,semiamictus:0.320394606223
ἐπιμαχέω,tutamentum:0.231496702701
παραπληκτικός,longanimis:0.231668980501
ἑδανός,perdulcis:0.706754082293,uinnulus:0.6071492317
ἠχώ,sonitus:0.281333585237
προοχή,cuspidatim:0.318821906974
φιλόθεος,amorabundus:0.305859196154
προσίζω,inhaeresco:0.350195975631
ἐπιδιακρίνω,sensiculus:0.306263341977
ποηλογέω,herbipotens:0.528217302072
στράτιος,bellatrix:0.393817580933
ἀμφιστρεφής,circumactio:0.316797397505
ἡμίκραιρα,sincipitamentum:0.751704307622
ἰσάκις,exaequo:0.425546755326
πύρωσις,incensio:0.436078251641
ἐρατεινός,uenusto:0.450284940585
αἰσθητός,sensilis:0.220863790532
τμῆμα,caesa:0.272967259716
ἀφειδέω,incuria:0.180328775103
δοιάζω,bipatens:0.280725223775
διαίνω,affleo:0.681598042159,umecto:0.611939786448
ἀτρύμων,retritus:0.466578973247
ὠκύτης,pernicitas:0.603685631056
ὑπογραμματεύω,praeseruio:0.49865952577
δέκατος,decimus:0.477873202545
εὖρος,eurus:0.374291131166
ὑπογραμματεύς,amanuensis:0.737565128442
ἀμέλλητος,retractatus:0.352987529761
ἐπηρεάζω,contumeliosus:0.246688747193
κατάφυτος,ambulacrum:0.595267813543
παρθιστί,leucrion:0.207369719274
ῥοδουντία,serisapia:0.322487443127
πάγχριστος,obunctus:0.647217209541
τρῶξις,admorsus:0.640893700558,mordex:0.552048038577
ἐξακέομαι,percuro:0.324689791875
εὔσοος,columis:0.307087155291
συντυγχάνω,obuenio:0.326158997374
ἀθύρω,deludo:0.407450938867
ξένισις,mansor:0.286024963001
φαντασιόω,sigillatus:0.242084306914
χερμάς,petrinus:0.550924338913,tecolithos:0.507939013135
καταφωράω,furatrina:0.373573072545
ἀτέκμαρτος,scopos:0.269473003457
ἀναίσχυντος,proteruio:0.485182080149
βιβλιαφόρος,baiulus:0.424505700878
πρόδικος,patronus:0.290574078843
ὑγραντέον,praetingo:0.380070475167
ἴυγξ,cantamen:0.358628122921
ὑποπίνω,exbibo:0.693361239904,interbibo:0.682579900284
ἀπαθέω,exonero:0.482270387752
διακινέω,cillo:0.354822427936
τρισώματος,tricorpor:0.812168221333
καλύβη,tentorium:0.250229451794
διευλυτόω,dissereno:0.297376982253
ἀνάπυστος,percognosco:0.364492909262
κλεπτίστατος,trifur:0.764878870278,furator:0.548466344351
σύνθακος,assessus:0.346433882404
ἐπιπαρανέω,circumaggero:0.344240405684
βαλλάντιον,crumena:0.457299071122
κυκλάζω,circumcirco:0.517832090169,circumstruo:0.478319764012
παρολισθάνω,taleola:0.421334825889
ἐπεισρέω,circumluo:0.320150169603
ὄφις,anguis:0.372860228745
ἐπιπροπίπτω,prouerto:0.308919900985
πύκνωσις,concretus:0.337264379035
παγκαταπύγων,spatalocinaedus:0.590383855679
παραδύομαι,correpo:0.66749179873,surrepo:0.638319664338
στοά,porticus:0.277130170974
προστρέφω,pascito:0.480795085896
ἐκτρώγω,tuburcinor:0.455519756182
κραδαίνω,praecutio:0.30381876054
αὐτάγρετος,selectio:0.32353358487
ἕρπυλλος,thyminus:0.360992286989
ὄκλασις,semireductus:0.203286471268
φθινοπωρινός,petilium:0.713909814328,coroniola:0.68755737779
γόνιμος,fertus:0.374268412528
ἔκροος,emissarium:0.308590363124
αἰολόπρυμνος,cheniscus:0.236874534432
ἀστρολογικός,astrologia:0.589021526578
ἀριστόμαντις,prophetia:0.25219364119
περιγνάμπτω,procuruo:0.69394967603,flexo:0.6706937683
συνάμα,atriolum:0.29433230581
εἰσπράσσω,stipulo:0.196767617981
σφενδάμνινος,glinon:0.289449768494
θεοειδής,diuinus:0.250334884135
συμπρεσβεύω,legatio:0.373775478329
μετριότης,medianus:0.31995823407
ἀντιπνέω,flato:0.463313153253
τυρόνωτος,caseatus:0.608829492465,caseus:0.605547299104
ὑποπλατωνικός,idea:0.19057526506
προσόψιος,suffertus:0.36236509934
νησίζω,performo:0.201534155301
διάβασις,traiectus:0.34872301364
διακελεύομαι,cohorto:0.428892681197
ἑτεροδιδασκαλέω,addoceo:0.585396504456
σημαντικός,indicatiuus:0.252648502852
ἰσχαδοκάρυον,concrementum:0.437342420223
ἀντιπράσσω,aduersor:0.237504416703
σχηματίζω,schema:0.248943458586
συγκεράννυμι,concerno:0.235898948284
ἑτερόρροπος,altrouorsum:0.476991784267
βαρβαρικός,barbaricus:0.233239033792
ὀνοματοθήρας,luparius:0.56172845893,uenatorius:0.530524107426
δολιχόσκιος,diutinus:0.422451706936
ληρώδης,nugatrix:0.475975519006
ἐπιφήμισμα,lexidium:0.325664644756
εἰκαῖος,scopos:0.176559010386
τρίπλευρος,triga:0.378495589881
σάρδιον,sardius:0.691787342533
ὑποκολακεύω,micula:0.289519857581
ἐγκωμιαστής,laudator:0.243696133193
κεφαλή,caput:0.461219168341
μοχλεύω,transmigro:0.22676324186
δύσπλανος,errantia:0.534492906964
φαρέτρα,corytos:0.821965548787,pharetra:0.763084689864
ἀκαρπία,sterilitas:0.715824492235,infecunditas:0.711599639334
διάλειψις,interstitium:0.492431812074
ἐξαῦτις,denuo:0.595327190403
ῥομβοειδής,turbineus:0.226903923681
σίαλος,praepinguis:0.621468098648,axungia:0.545436634365
γνώριμος,familiaris:0.268093142998
ὁλοπόρφυρος,blatteus:0.641522485297,ostrinus:0.634570526027
γλίσχρασμα,percrassus:0.780553751198,praecrassus:0.754142487559
ὑπερασθενής,perimbecillus:0.343701534178
στίχος,uersiculus:0.413302499731
διοπτάω,permacero:0.365655841497
λιθουργός,marmorarius:0.448517942866
σφυρήλατος,strictura:0.376041440676
ἐνιππεύω,circumequito:0.74798545848,superuehor:0.71115262029
ὕπαρνος,agninus:0.455347408799
τριηραύλης,celeusma:0.30265803131
προκαταπίνω,cypselus:0.520875071871
εὐυδρία,fluento:0.394954635142
χορευτής,saltator:0.4047199298
ἀφοσίωσις,performo:0.296765987697
λευκόλοφος,percandidus:0.546289674339,peralbus:0.538080615396
εὐάγων,litatio:0.289738632496
ἀνάτασις,tonus:0.286227341118
ἐκθύω,expio:0.329169463527
οὖς,auris:0.367222510228
λιπαροπλόκαμος,claustrarius:0.392596451698
προσεισφορά,epitheca:0.381034862117
μηλονόμης,pastorius:0.444065876163
ἄσπαρτος,satiuus:0.20341594903
διωρισμένως,seiunctim:0.463405449569
ῥυμοτομία,dispertitio:0.377822927677
κλωστής,tippula:0.277937675191
συμφιλοτιμέομαι,interiungo:0.251501915138
κηδεστής,socer:0.590679094618
εὐθύφρων,uniuersitas:0.233940568776
ἀμαρύσσω,uerutum:0.20045147144
ζωμοποιός,embamma:0.404664909136
πρόσεδρος,assessio:0.598168792019
πρωτοφυής,primogenitus:0.528522882862,primulus:0.499263713318
χορῳδία,ode:0.350798789824
οὖν,tum:0.320486989093
εὔρηκτος,profringo:0.519200731499,suffringo:0.484015761882
ἐπίνοια,cogitatio:0.315394999045
εὐρυθμία,agitatio:0.215428582699
φυξανορία,auersatio:0.319704351085
ἐπηετανός,effarcio:0.27176678055
ἀπότακτος,discapedino:0.258337465662
ἐμπιστεύω,fiduciarius:0.257495660258
πολύκλητος,hypecoon:0.407874292393
κναφευτικός,naccinus:0.880620157139,nacca:0.871358957461
περιαλγής,hyperbolaeus:0.474488204766
περιλέπω,delibro:0.32046988388
μακρόβιος,praelongus:0.462676162797
πρέσβιστος,plerus:0.220667485871
ἐπανακαλέω,reuocamen:0.224561136857
ἐμβόησις,iubilatio:0.949455384613,clamatus:0.516887343265
ἐκδικαστής,punitor:0.438934875856
ἀνακλητικός,pabularis:0.360279534587
μεγαλότολμος,exabusus:0.452587039093
συνακούω,subaudio:0.306272590538
ὀλβίζω,felicito:0.508230451649
ὄξος,acetum:0.316143007118
πέτρωμα,lapidaris:0.405080479298
δισκεύω,rica:0.336850624054
ξίφος,gladius:0.33441091765
ἀπώλεια,perditio:0.395930867326
θρησκεύω,rite:0.229367413577
τετραπόδης,monopodius:0.649594923472,anguipes:0.536440434154
ἐξακτέω,annonor:0.387231862891
διάδεσμος,uinctura:0.570573470853
κάθαμμα,cuspidatim:0.282758060709
πέτασος,platys:0.299712844352
προσκερδαίνω,ascriptio:0.495134270487,mantisa:0.492841878885
ἀντίπυλος,hecatompylos:0.270104932394
προσομολογέω,praehibeo:0.175002076266
τερματίζω,exballisto:0.332697635521
καθοσιόω,circumpurgo:0.277537958727
πρόκακος,uls:0.329488018646
ἐπαπειλέω,comminor:0.45455661037
οἰκία,domus:0.337459380098
φήρ,bimembris:0.461619744843
καταδοξάζω,performo:0.26801499821
ἐναλλάσσω,mutatura:0.377486865858
ἁρμάτειος,currulis:0.495946825749
ὕπακρος,supremitas:0.436310561598
εἰσθρῴσκω,subsilio:0.65385266819,praesulto:0.531989616539
ψηφισματοπώλης,cauponor:0.395457209849
συνδιώκω,uenatura:0.267287602755
ἀντιπαθέω,tetanicus:0.310118548577
γάνωμα,gaudimonium:0.191316907327
ἡλιώτης,insolo:0.562073569039,solifer:0.538874455953
πυργοῦχος,efforo:0.180928840944
προσγελάω,surrideo:0.85720662464
συγκηδεύω,humatio:0.502283757159
εἰσάλλομαι,subsilio:0.672587667076
καταστέφω,coronamentum:0.403627520343
στεγαστρίς,depulsorius:0.195761082606
τάρβος,pauefacio:0.42811389886
διασῴζω,sospito:0.383749494938
ὑπερφίαλος,arrogo:0.194000576755
κατευτρεπίζω,ordinatim:0.407060442884
πρόπυργος,urbanicianus:0.271082269843
ἄπειστος,impromptus:0.234311934914
ἀολλήδην,cunctim:0.469679876863
θηρεία,uenatura:0.657551784437,uenaticius:0.62416128079
ἐργατίνης,agricultor:0.308612196973
βλάστησις,germinatio:0.542820390115
ἔκκρουσις,uerberabilis:0.32678545351
μονοφυής,monotropus:0.608127656856,monaulos:0.584470150361
διάμετρον,demetior:0.36073488419
θεμισκόπος,omnituens:0.334062068773
ἀμοιβεύς,mutator:0.688573857931
εὐχαριστέω,grates:0.222096744975
δειράς,tores:0.394435526118
γαλεώτης,chalcidice:0.336413966363
θυήλημα,sacrificalis:0.497209776992
διάμετρος,polus:0.181613868764
ἐνδιόω,consentia:0.384998862498
συνδιαπέτομαι,superuolito:0.574674491926,supereuolo:0.514410311347
πλεονέκτημα,lucrius:0.270959821536
συγγνωμονικός,citharoedicus:0.28829766833
ὑπόδροσος,subumidus:0.342526574676
ἐπίθεμα,colice:0.20226860422
αἰχμή,quiris:0.735176536283
ἐμπεδορκέω,deiurium:0.429169720228
ἄμοτον,uiolenter:0.212678082698
ὑποσταχύομαι,spiceus:0.386558443775
κατάρχω,ordior:0.489649500593,coepto:0.484880636797
συνεκλεκτός,optiuus:0.692115970387
θρῆνυς,subsellium:0.501028039532
ἔρυσις,extractorius:0.83781517723,ductim:0.826676192614
σκόμβρος,scomber:0.301869189635
ἀνατρεπτικός,circumactio:0.178112306326
πολύδρομος,errantia:0.408317972963
δοξοκοπία,dipsas:0.23402162784
ἀναρρίπτω,eiecto:0.329057728661
ἐπίτομος,compendiarius:0.525093428921
ἀντιλογέω,subnego:0.607765285665,denego:0.580702592944
σφαιρηδόν,sphaera:0.785123280936
κάστωρ,castor:0.959683661009,castoreum:0.595251477029
ὑπόδυσις,regressio:0.202713423394
ποδιστήρ,amphibrachys:0.336721213747
ὑπολοχάω,confutuo:0.480502987178
πέπνυμαι,conscio:0.275273488846
γυναικογήρυτος,iurgatrix:0.313295038119
καταδαπάνη,siccatio:0.517971569214
γενάρχης,proauctor:0.461454370793
πλουτώνιον,eccere:0.194296361943
πλάνησις,dissipatio:0.423200293531
μύσις,clusilis:0.693543483068,glutinatio:0.644132933152
πλουτοδότης,legifer:0.364271450165
κυρκανάω,impermisceo:0.393259974439
ἅρπαγος,harpaga:0.844378839308,hamulus:0.770783418697
ἐσχαρίς,foculus:0.190527188612
χεῖμα,hiemalis:0.66080787257,chimerinus:0.620453673495
ἁπαλόχροος,praemollis:0.442093516264
δίπυλος,conduplico:0.300105842919
ταλακάρδιος,perpessicius:0.326661597824
περιαυτολογία,offensator:0.348640570944
χάρυβδις,uorago:0.462126966425
δασμοφόρος,abaris:0.457165012374
ὀλιγόγονος,ignigenus:0.393870884595
πειθαρχία,parientia:0.72645015462,oboedientia:0.705757656332
εὔχομαι,quonam:0.386822057185
ἐπιπίλναμαι,perpropinquus:0.478458532418,adbito:0.477282032398
ἀταλάφρων,micropsychus:0.556464563902
συνεκπίπτω,conuolo:0.427538119183
ἀγχίμολος,comminus:0.493992956368
ὀλιγοδρανία,debilitatio:0.307157910619
χρονισμός,moratio:0.510222561648
συνναυμαχέω,naumachiarius:0.432644842919
κυκνόμορφος,olorifer:0.655113556293,cycneus:0.53565279249
διαπτύσσω,resutus:0.619781487022
ὀκταπλάσιος,octuplus:0.59453650609,octuplicatus:0.537429364125
ὑπερασπάζομαι,exaugeo:0.372689421605
πρόσφορος,opportunus:0.337901769459
κοτυλίζω,diuendo:0.317945300873
δειδήμων,subuereor:0.321718737538
ἄρχων,praetor:0.275999814562
οἰνόφυτος,uinealis:0.567372902285,uinearius:0.56648225056
ἄκαινα,repungo:0.38749028672
ἐρεβώδης,pulligo:0.284631309
συναλοάω,distero:0.394843519391
ὑποφωνέω,introuoco:0.339874636201
ποτνιάομαι,boo:0.410272460023
θρυώδης,iuncosus:0.507162157745
ζάγκλον,messio:0.58767118777,falciger:0.486717584209
ἔπωχρος,sufflauus:0.434540994399
μονῳδία,canticum:0.219424574635
μαχαιροποιός,factitator:0.929890881088,uitor:0.62919284295
κωμηδόν,pagatim:0.489703318282
ἀναπείρω,traiecto:0.584179482285,transforo:0.565930315796
λισσάς,colleuo:0.33528457559
ἐκφαίνω,protraho:0.272082832543
καταβλακεύω,socors:0.310488203897
πολεμέω,bellum:0.502782730436
φθόριος,abortus:0.337518102448
ἔλευσις,uentio:0.434060379069
εὐκαταφρόνητος,contemptibilis:0.336921224095
ἀδηλέω,imperspicuus:0.28532234716
θωρακίζω,thoracatus:0.36957261605
φάρος,aratro:0.247538627157
ὀκρίβας,onagos:0.349499347352
ἐναποτίνω,litigium:0.270459815461
μολιβοῦς,plumbeus:0.595524132675
ἀμνή,agna:0.456647698053
ἐπικυδής,litatio:0.203768976428
ὄστρεον,conchylium:0.443277219304
παμμήκης,perlongus:0.557889311281,praelongus:0.554605546191
ὑποσκόλιος,subumidus:0.352612467053
λάθυρος,legumentum:0.247637268707
ἀπολαύω,fruor:0.341285209629
ἀκριτόμυθος,stultiloquium:0.373052406376
χειρόνως,peioro:0.425874045213
θεοσυλία,sacrilegium:0.231930240463
χωριτικός,rurigena:0.423104448045
ἀποσφακελίζω,gelatus:0.245150422533
συστρέφω,grego:0.250883587855
δάσος,aspritudo:0.428510036007
ἐτησίαι,etesiae:0.384815928179
ὁμοφράδμων,homonymus:0.472670801307
ἑρκοθηρικός,halieuticus:0.224858871352
περικάτω,praecipitatio:0.348521143426
δυσθαλής,duriter:0.464110517081
πυρώδης,ignifer:0.501165496714
σκίρων,aparctias:0.405032103598
στοιχηδόν,uersiculus:0.515466190486
νεφελοειδής,nubilosus:0.436586468705
ἀνδροφθόρος,madulsa:0.321866278912
κογχύλιον,conchula:0.442918212663
ἀναβλάστησις,atella:0.344024833876
ῥινοκόλλητος,glutinamentum:0.623517446421
χαμεύνης,exocoetus:0.452552523626
ἀθήρ,uncinus:0.203134379007
μετοπωρινός,petilium:0.615385487364,coroniola:0.590192410606
διεκπίπτω,elabor:0.397569246564
κάρπωμα,frugilegus:0.202317670711
ὁμολογητής,sponsor:0.402344129144
λυκηγενής,amnigena:0.323565653866
εὐτέρπη,octies:0.326044805716
προαμαρτάνω,peccantia:0.624723577076
κακοπονητικός,inequitabilis:0.28246988346
ἐπισάττω,uehes:0.431923936197
δυσάθλιος,plerus:0.337743420777
διοπτήρ,excursor:0.397484238972
νέκταρ,nectar:0.509967518984
ξενοτροφέω,poscinummius:0.344814549892
οἰακονόμος,gubernius:0.201502338184
ταπεινοφροσύνη,infimitas:0.479133343596
δολιχοδρόμος,cursura:0.912733630205,accursus:0.593820500004
πεντετηρικός,quinquennalis:0.407473245454
μεθίστημι,muto:0.351081944052
ἐξόζω,oboleo:0.574372731108,olfacio:0.499126597321
σῆψις,lactes:0.227351523905
σίδηρος,ferrum:0.356367867195
ἡμίονος,mula:0.442016065274
τριτογένεια,terrigena:0.363723470128
ἁδρέω,arboretum:0.32778184571
εὐφιλοτίμητος,propritim:0.443606560615
ὑπτίασμα,semisupinus:0.176344770164
ὁμωρόφιος,deuersoriolum:0.401786832324
θαμέες,conuersatio:0.342199468556
συμβουλή,altercatio:0.29739873021
σκυλάκιον,stacton:0.551025016181,hieracium:0.506537038899
ἐκκοκκίζω,apyrinus:0.372818054657
ἀπλανής,erraticus:0.238667155461
παρασύρω,auerro:0.340298168692
κατακρημνίζω,cernulo:0.389465405295
δύσις,occasus:0.438745893691
ὀρθόπαγον,colliculus:0.447003167964
μεταθέω,percurso:0.414969679953
τυμπανιστής,uirgator:0.418926198936
ἱπποβάμων,tardigradus:0.318771126368
ἀφήκω,necne:0.207000091688
κοτυλίσκος,pocillum:0.469417126392
κατευθύνω,surrectus:0.357518611571
παρακοή,inoboedientia:0.212518038618
ἐκλέγω,excerpo:0.372013313209
ἄπλυτος,illotus:0.356720781087
κόλλα,pasta:0.577816610902,glus:0.560338344892
φῦμα,hypocisthis:0.226992688804
καταρκέω,sufficienter:0.218540962781
ἀδηφαγέω,insatietas:0.60554522941
καράτομος,circumtonsus:0.297267444501
ἐπικείρω,distrunco:0.641880100549,deseco:0.590998282637
εἰκοσαστάδιος,uicenarius:0.407428269846
ῥινηλατέω,subolfacio:0.464436823111
ἐρεβεννός,tenebrosus:0.632660509297,praenubilus:0.531158449447
ὁπότε,quando:0.421459985658
ἑκατόστομος,centenarius:0.384171035465
κατάγραφος,catagraphus:0.216283845
συμπείρω,transforo:0.727262765943,traiecto:0.585507572836
μυριώνυμος,innumerabilitas:0.47208691657
συνοδύρομαι,eiulo:0.494167348126
πονέω,ango:0.206128205364
τοποθετέω,elogio:0.441945799856
παρωνυχία,paronychia:0.677440627611
ἄφθιτος,dispereo:0.213433054891
ὑπέρσοφος,peringeniosus:0.304224787832
ὑψοτάτω,suspectio:0.286409857425
μηκάς,balatus:0.800932140801
ἀκοστάω,herbilis:0.545056481013
ὄνθος,stercoro:0.796084593273,fimetum:0.616926491568
μελλησμός,minitabundus:0.419213902396
προεξιόω,exherbo:0.195193014021
πατέω,calco:0.548101270595
εὐθάνατος,agitabilis:0.267194184711
ἐπικραίνω,perfruor:0.301929924937
δηγμός,admorsus:0.375904507482
καινουργός,confictio:0.44210179167
θωρακίτης,pectoralis:0.366835642881
ὑπόμακρος,procerulus:0.544226873132
δεητικός,praerogo:0.312346617895
τριβωνικῶς,figulo:0.532454331778
γνῶσις,scius:0.377775706781
εὐεπής,pereloquens:0.527282929778,perfacundus:0.496928188269
νομογράφος,libellio:0.329703543637
τεκτοσύνη,technicus:0.376211767946
καταδεής,deliquus:0.357598697178
ἀζαλέος,exsicco:0.440280401208
προορμίζω,tetrao:0.38467374291
κύπρος,cyprinum:0.359421880329
ἐφαρμόζω,accommodo:0.299490668854
ῥάμφος,embolum:0.585070680488,beccus:0.545358685277
κεραυνίας,tonitruo:0.598338937496,protono:0.516909450825
εὐπάλαμος,artificiosus:0.177829122648
τρέμω,intremo:0.616220501965,tremesco:0.563791360515
δέλτα,fluuiatilis:0.279021425782
ἀποκαραδοκέω,exobsecro:0.431963315376
προεικάζω,adopinor:0.410414916248
περιώσιος,praemodum:0.493182648465,uls:0.472102473569
περιπλάσσω,trullisso:0.370156243565
φάλκης,costa:0.5873823793
ἐπιρροή,canaliculus:0.205520934226
χειριστής,transactor:0.57886208521
καιροφυλακέω,aduigilo:0.376226211589
μονόφρων,monotropus:0.488513608547
καλλίζωνος,zonarius:0.447185134331
ὄρφνινος,furfurosus:0.502830364715
πήχυιος,spithama:0.514360720261
δυσπαράγραφος,perdurus:0.512401820951,dureo:0.486946875433
περισχοινίζω,catadromus:0.535815362022
νουμηνία,interlunium:0.70650232848,interlunis:0.673419223607
ὁμόλεκτρος,acoetis:0.500275501277
ποικιλόγηρυς,pluriformis:0.335680032418
φωτεινός,praelucidus:0.467974176309
ἀγυρτεύω,larifuga:0.503238911747
ὁμοίωσις,similitas:0.387684749468
βασίλη,regina:0.291970725739
ἐγκράζω,occlamito:0.566072404188,elatro:0.551496159735
τοὔνεκα,propterea:0.499737304864
ὑπερτείνω,extento:0.383905934195
σποραδικός,dispersio:0.287383342781
τειχοδομέω,perstruo:0.516366960364,circamoerium:0.481023034288
εὔκαιρος,opportunus:0.25571785319
συναναιρέω,consum:0.301494776652
φάγος,degulator:0.817145815772,ganeo:0.583826610135
πλησιάζω,proximo:0.503558237581
συνδιαπεραίνω,solifer:0.312505190473
πρόσηβος,perpropinquus:0.463325061057
προσνεύω,sublucanus:0.491192109614
μεριστός,diuiduus:0.303284348188
ξιφουλκός,ensiger:0.533312721261,extractorius:0.52261336583
παλινδικία,expertio:0.29699485723
ἀδόνητος,illabefactus:0.531341365701
χειρωνίς,chirurgia:0.543887521348
ῥοικός,arcuatim:0.347484773558
φιλιάζω,amiculus:0.496875918101
εὐδαιμονίζω,uocito:0.422050862467
πανταρκής,praepossum:0.446683229553
παραφθείρω,praeuitio:0.190294256734
τελωνία,quattuoruiratus:0.302989278759
ἀτόπημα,absurditas:0.177169134419
φαληριάω,albidus:0.431891422637
σύριος,comacum:0.240882274641
ἁρματήλατος,regyro:0.293988327802
θερίζω,demeto:0.721876304018
ἀνημερόω,mansuetarius:0.527857738035,elaphoboscon:0.501067931791
ὄψις,uisus:0.627335036668
ἀφελκόω,incisus:0.233996994833
δημολογικός,offensator:0.280398000232
εὔπιστος,perfidelis:0.186741756315
ἔνδοσις,condonatio:0.233635437606
θαλασσοκοπέω,fligo:0.277316532751
φαλός,haesitantia:0.190856437955
νεοσσός,iuuencus:0.367699378415
σκυθικός,rubicundus:0.355984113487
ἕργμα,retardatio:0.458637951669
κραυγή,clamatus:0.369440578244
ὀξυτόμος,scalpratus:0.531231160624
ὑπορρίπτω,cernulo:0.636640846794
σισυρνοφόρος,tutulatus:0.790007555292,soccatus:0.633946968832
φιλοτοιοῦτος,illatenus:0.509667954659,totiugus:0.502468631776
πολυκτόνος,interfectorius:0.378980478246
ἐρημάζω,solitarius:0.517835781239
πανόπτης,omnituens:0.917894613779,cernentia:0.493423215384
ἐπίδεσμος,uinctura:0.257123570329
συνθηρεύω,concipilo:0.342671764818
λαφυγμός,helluatio:0.564275725538,edacitas:0.507127966666
κανήφορος,cophinus:0.623218548781,asportatio:0.571506762054
ἑκατονταρχέω,primipilarius:0.539612459927,centurionatus:0.523441233118
ἰσχυρόω,conforto:0.588456072973
διασφαιρίζω,glomerosus:0.578740200872
περίκρανον,pilleolus:0.765164138541,melancoryphos:0.6881592305
χαλκάρματος,chalceus:0.457120332186
ζυγόδεσμον,subiugius:0.519656825431,strophium:0.497192693038
ἄφνω,subitaneus:0.418093938514
τρόφιμος,alumnus:0.240270238331
ἔχμα,detentor:0.222960479726
ἐξαυαίνω,siccanus:0.763543030441,interaresco:0.738442074765
ὀλισθηρός,lubrico:0.602936798398,lubricus:0.502000925805
ἄκορον,rhizotomos:0.486624996037
ὀξυπευκής,pennus:0.657259306929,mucronatus:0.539628021899
συλλαγχάνω,exsors:0.39943921443
ἀσυρής,spatalocinaedus:0.538806651411
ἐθελοδουλεία,munificium:0.350154333537
ἀρτίτροπος,anilitas:0.283469790475
ἰθύφαλλος,saltatus:0.329730799824
ἀραρότως,truso:0.304148507805
ἀνυπονόητος,necopinus:0.514364949111
ἐξαπίνης,subitaneus:0.864397898206,derepente:0.561492865897
ὕφεσις,summissio:0.367876761936
ἔπουρος,flatura:0.475139272512
φόνος,caedes:0.408378939382
σαρκάζω,morsico:0.228366801325
ἐξόμνυμι,iureiuro:0.56623006035,deiero:0.494810065801
ἐμπυρεύω,ignispicium:0.515884420043,ignigenus:0.510484056883
ἐπικωκύω,eiulo:0.542914195732,delamentor:0.476864717925
μάρδος,choraules:0.644623619671,choraule:0.614387392846
νάκος,admutilo:0.3300050346
ἀκαταγώνιστος,immersabilis:0.498441618914
ὀψωνέω,praestino:0.387450440513
δικοδίφης,deliberator:0.29367765899
ἀμφικαλύπτω,obnubo:0.212337642421
ῥηγμίν,thalassicus:0.309203018473
προκατηγορία,delatura:0.371768187415
καταλογίζομαι,pernumero:0.698868801156,dinumero:0.527018912545
προαναχώρησις,abitio:0.283110409327
δινωτός,orbiculatus:0.305760063302
σιναρός,zamia:0.259490159292
νεόγαμος,marita:0.453006660045
ἐπανισόω,exaequo:0.458947227435
χρυσόρρυτος,aurosus:0.455844078819
καρπόφορος,fructifer:0.988091386692,frugifer:0.616591935392
ὑγρός,umidus:0.351664763824
καρκαίρω,intremisco:0.374365063363
εὐχείρωτος,parabilis:0.478260306803
μεταδότης,deliberator:0.303426059573
χρυσαυγής,aurosus:0.449141735652
ὑπανίημι,detendo:0.203653781278
στίγμα,praesigno:0.308519919122
συσταδόν,pycnostylos:0.603834330731,crebratus:0.480337591584
ἀνομαλίζω,paritas:0.515701573032,parilitas:0.498706356605
εὐρωπία,platys:0.445215170634
βοηδρομέω,barrio:0.411882051609
βληχρός,oppressiuncula:0.388680579391
θοός,festino:0.458891494471
σαρδόνυξ,sardonychatus:0.714018201446
τμητικός,prosectus:0.384328701024
μεγαλόπετρος,saxulum:0.422603045705
στεγάνη,instratum:0.815223869816,obtectus:0.812151722474
προσαραρίσκω,thalamegus:0.251347060634
χάλκεος,chalceus:0.260046049032
ἀποστηματίας,excaecator:0.355569623827
ἁπλόος,simplico:0.509694166021
ἰθυβόλος,euthia:0.320988576547
ἐπωτειλόομαι,inserpo:0.212385092672
ὥστε,pro:0.32393894994
εἰκοσιτέσσαρες,uiceni:0.535984593597,uiginti:0.530426851153
μελπομένη,cantrix:0.552650000088
ἐξαπατύλλω,perhilum:0.264476468619
ὅρκιον,iurandum:0.429533483987
βατέω,supertego:0.831451662477,operto:0.795520904573
ὠρύομαι,hirco:0.602097803621
προσεμφερής,trichomanes:0.778657721881,ophidion:0.739077490738
προσορέω,limitaris:0.785686041399,margino:0.545998238467
τρώμα,uulnifico:0.802589916286,conuulnero:0.616372161082
στροφάλιγξ,flexo:0.347635101086
συροπέρδιξ,perdix:0.522666953336
παρεμπόρευμα,heluella:0.375826310357
ἐπίσκοπος,tutor:0.181608939431
τυρός,caseus:0.903952584177
ἐνοφείλω,indemnitas:0.190565132635
ἀποβλώσκω,laecasin:0.589111396616,semigro:0.525011645629
μεταδρομάδην,secutorius:0.525368702957
ἑπτάχους,congialis:0.536828485117,septunx:0.501308165243
δορπηστός,inuesperascit:0.424262380997
ἀντεκκλέπτω,reuerticulum:0.531742408652,subterduco:0.505681756235
ἱππηδόν,caballinus:0.387455528835
πιλόω,distractus:0.571273165562
δήμιος,publicitus:0.51593000871
ἀναγνωστέον,translego:0.546903102575,gleucinus:0.512538882426
μορφώτρια,demutatio:0.449743185578
λιποστρατέω,praeseruio:0.362484757276
καρυκοποιέω,permingo:0.440232035936
ἐγκατασκευάζω,fabrio:0.544969650841
μεγαλοεργία,lautitia:0.385781581102
ἐκφυσάω,reflo:0.519488930403,exsufflo:0.510837299367
ἀπαγινέω,expenso:0.558554506461,persoluo:0.51702494648
παιδευτήριον,scholicus:0.888537200043,condiscipulus:0.617764905445
ἀνάκρισις,dispectus:0.462026612906
προβολεύς,seminator:0.765241852946
διάβρωμα,uermiculatio:0.45538309247
ἀγχέμαχος,manualis:0.563029176551,manuarius:0.520302954489
δοξόσοφος,sophia:0.307535327174
